2nd_flr_pres,age_sold,alley_grvl,bedroom_abvgr,big_house,bldg_type,bsmt_cond,bsmt_exposure,bsmt_full_bath,bsmt_qual,bsmt_unf_sf,bsmtfin_type_1,central_air,condition,electrical,enclosed_porch,exter_qual,exterior_1st,exterior_2nd,fence,fireplace_qu,fireplaces,foundation,full_bath,functional,garage_area,garage_finish,garage_qual,garage_type,gr_liv_area,half_bath,heating,heating_qc,house_style,id,kitchen_abvgr,kitchen_qual,land_contour,land_slope,lot_area,lot_config,lot_frontage,lot_shape,mas_vnr_area,mas_vnr_type,ms_subclass,ms_zoning,neighborhood,open_porch_sf,overall_cond,overall_qual,paved_drive,pool_pres,roof_style,sale_type,saleprice,screen_porch,total_bsmt_sf,wood_deck_sf
0,46.0,0,3,0.0,1Fam,3,0,1.0,3,470.0,3,Y,Feedr,0.0,0,2,VinylSd,VinylSd,1,0,0,PConc,1,0,480.0,1,3,Detchd,1121,0,GasA,2,1Story,770,1,2,Lvl,flat,8816,Corner,80.0,Reg,0.0,None,20,RL,Sawyer,80,6,5,2,0,Gable,WD ,139000,0,1121.0,0
0,30.0,0,3,0.0,1Fam,3,0,0.0,3,660.0,1,Y,Norm,0.0,0,2,Plywood,Plywood,1,3,1,CBlock,1,0,528.0,2,3,Attchd,1285,1,GasA,4,1Story,2063,1,2,Lvl,flat,8197,Inside,71.0,Reg,148.0,BrkFace,20,RL,Sawyer,0,5,6,2,0,Gable,WD ,143500,0,660.0,138
1,1.0,0,3,0.0,1Fam,3,1,0.0,4,732.0,6,Y,Norm,0.0,0,2,VinylSd,VinylSd,0,0,0,PConc,2,0,614.0,1,3,Attchd,1547,1,GasA,4,2Story,69,1,3,Lvl,flat,8640,Inside,72.0,Reg,0.0,None,60,FV,Somerst,45,5,7,2,0,Gable,Con,215200,0,756.0,169
0,39.0,0,3,0.0,1Fam,3,0,0.0,4,402.0,4,Y,Norm,0.0,0,2,VinylSd,VinylSd,0,1,1,CBlock,1,0,450.0,3,3,Attchd,894,0,GasA,3,1Story,2062,1,2,Lvl,flat,8724,Inside,109.0,Reg,0.0,None,20,RL,Sawyer,0,5,5,2,0,Gable,WD ,129000,0,894.0,0
0,9.0,0,2,0.0,TwnhsE,3,0,1.0,4,343.0,6,Y,Norm,0.0,0,3,CemntBd,CmentBd,0,5,1,PConc,2,0,499.0,3,3,Attchd,1659,0,GasA,4,1Story,351,1,4,Lvl,flat,5664,Inside,40.0,IR1,0.0,None,120,RL,StoneBr,59,5,8,2,0,Gable,WD ,278000,0,1501.0,212
1,1.0,0,3,0.0,1Fam,3,2,0.0,5,1209.0,1,Y,Norm,0.0,0,3,CemntBd,CmentBd,0,4,1,PConc,2,0,575.0,3,3,Attchd,2253,1,GasA,4,2Story,2393,1,4,Lvl,flat,12867,Corner,103.0,IR1,0.0,None,60,RL,NridgHt,142,5,8,2,0,Gable,New,344133,0,1209.0,243
0,18.0,0,3,0.0,1Fam,3,0,1.0,4,233.0,5,Y,Norm,0.0,0,2,HdBoard,HdBoard,3,0,0,PConc,2,0,420.0,3,3,Attchd,1187,0,GasA,4,1Story,12,1,2,Lvl,flat,7980,Inside,72.02564102564102,IR1,0.0,None,20,RL,Gilbert,21,7,6,2,0,Gable,WD ,185000,0,1168.0,483
0,51.0,0,3,0.0,2fmCon,3,1,1.0,3,0.0,3,N,Norm,0.0,0,2,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,0,572.0,3,3,Attchd,1056,0,GasA,2,1Story,2339,1,2,Bnk,flat,34650,Inside,100.0,Reg,0.0,None,190,RL,Gilbert,0,5,5,2,0,Hip,WD ,145000,0,1056.0,264
0,48.0,0,3,0.0,1Fam,3,0,1.0,3,141.0,3,Y,Norm,0.0,0,2,MetalSd,MetalSd,3,3,1,CBlock,2,0,530.0,2,3,Attchd,1453,0,GasA,4,1Story,624,1,2,Lvl,flat,10573,Corner,92.0,IR1,3.0,BrkFace,20,RL,NAmes,49,6,6,2,0,Hip,WD ,187500,288,1453.0,0
0,45.0,0,3,0.0,1Fam,3,0,1.0,3,224.0,6,Y,RRe,0.0,0,2,MetalSd,MetalSd,1,4,1,CBlock,1,0,336.0,1,3,Detchd,894,0,GasA,4,1Story,86,1,2,Lvl,flat,8450,Inside,65.0,Reg,0.0,None,20,RL,Sawyer,144,8,5,2,0,Gable,WD ,138500,0,894.0,416
1,71.0,1,4,0.0,1Fam,3,0,0.0,3,336.0,4,Y,Norm,0.0,0,2,WdShing,Wd Shng,0,4,1,CBlock,2,2,240.0,1,3,Detchd,1938,0,GasA,4,1.5Fin,1534,1,3,HLS,sloped,11700,Inside,69.27272727272727,IR1,0.0,None,50,RL,Crawfor,40,6,5,2,0,Gable,WD ,198000,0,942.0,0
1,112.0,0,4,0.0,2fmCon,3,0,0.0,3,957.0,1,N,Feedr,0.0,133,2,VinylSd,VinylSd,0,0,0,CBlock,2,0,0.0,0,0,None,1991,0,GasA,1,2Story,2243,2,2,Lvl,flat,8250,Inside,75.0,Reg,0.0,None,190,C (all),IDOTRR,0,6,5,0,0,Gable,WD ,119600,0,957.0,0
1,58.0,0,3,0.0,1Fam,3,1,0.0,3,672.0,1,Y,Artery,0.0,0,2,MetalSd,MetalSd,1,1,1,CBlock,1,0,576.0,1,3,Detchd,924,0,GasA,4,1.5Fin,1957,1,2,Lvl,flat,8064,Corner,60.0,Reg,0.0,None,50,RL,NAmes,0,7,5,2,0,Gable,WD ,122900,0,672.0,0
0,28.0,0,4,0.0,1Fam,3,0,1.0,4,1420.0,5,Y,Pos,0.0,0,3,BrkFace,BrkFace,1,4,1,PConc,2,0,542.0,3,3,Attchd,2524,1,GasA,2,1Story,380,1,3,Lvl,flat,9600,Inside,80.0,Reg,0.0,None,20,RL,NWAmes,120,5,8,2,0,Hip,WD ,278000,0,2524.0,474
1,77.0,0,3,0.0,1Fam,3,0,0.0,4,792.0,1,Y,Norm,0.0,0,2,BrkFace,Stucco,0,4,2,PConc,1,0,400.0,1,3,Detchd,1517,0,GasA,1,2Story,2860,1,3,HLS,sloped,11435,Corner,69.27272727272727,IR1,0.0,None,70,RL,Crawfor,0,7,8,2,0,Gable,WD ,230000,0,792.0,0
0,11.0,0,2,0.0,TwnhsE,4,2,1.0,4,0.0,2,Y,Norm,0.0,0,3,BrkFace,BrkFace,0,4,1,PConc,1,0,481.0,3,3,Attchd,1494,1,GasA,4,1Story,2517,1,4,Lvl,flat,9549,CulDSac,30.0,IR1,0.0,None,120,RL,Veenker,30,5,8,2,0,Hip,WD ,270000,216,1494.0,0
0,55.0,0,2,0.0,1Fam,3,0,0.0,3,507.0,5,Y,Norm,0.0,0,2,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,0,410.0,1,3,Detchd,948,0,GasA,2,1Story,1933,1,2,Lvl,flat,10950,Inside,60.0,Reg,0.0,None,20,RL,NAmes,48,6,6,0,0,Hip,WD ,125000,0,948.0,0
0,2.0,0,3,0.0,1Fam,3,3,1.0,5,417.0,6,Y,Norm,0.0,0,3,VinylSd,VinylSd,0,4,1,PConc,2,0,826.0,2,3,Attchd,1718,0,GasA,4,1Story,820,1,3,Lvl,flat,10637,Inside,79.0,Reg,336.0,Stone,20,RL,CollgCr,44,5,8,2,0,Hip,WD ,297000,0,1705.0,208
0,51.0,0,2,0.0,1Fam,3,3,0.0,4,160.0,1,Y,Norm,0.0,64,2,Wd Sdng,Wd Sdng,0,4,1,CBlock,1,0,384.0,2,3,Basment,1142,0,GasA,1,1Story,675,1,2,HLS,sloped,9000,Inside,80.0,IR1,82.0,BrkFace,20,RL,NAmes,28,6,6,2,0,Flat,WD ,113500,0,160.0,0
1,29.0,0,4,0.0,TwnhsE,3,0,0.0,3,36.0,5,Y,Norm,0.0,0,2,CemntBd,CmentBd,0,3,1,PConc,2,0,336.0,2,3,Attchd,1475,0,GasA,4,2Story,2910,1,2,Lvl,flat,2665,Inside,41.0,Reg,0.0,None,160,RM,MeadowV,26,6,5,2,0,Gable,WD ,127000,0,757.0,104
0,33.0,0,3,0.0,1Fam,3,0,0.0,4,1139.0,4,Y,Norm,0.0,0,2,Plywood,Plywood,1,3,1,CBlock,2,0,546.0,2,3,Attchd,1844,0,GasA,4,1Story,21,1,2,Lvl,flat,11751,Inside,105.0,IR1,480.0,BrkFace,20,RL,NWAmes,122,6,6,2,0,Hip,COD,190000,0,1844.0,0
0,34.0,0,3,0.0,1Fam,3,0,0.0,3,326.0,5,Y,Norm,0.0,0,2,HdBoard,HdBoard,0,3,1,CBlock,1,0,528.0,1,3,Attchd,1242,1,GasA,1,1Story,1873,1,2,Lvl,flat,9600,Inside,80.0,Reg,320.0,BrkFace,20,RL,NWAmes,0,6,7,2,0,Hip,WD ,175500,0,1242.0,0
0,13.0,0,3,0.0,1Fam,4,0,1.0,4,570.0,6,Y,Norm,0.0,0,2,VinylSd,VinylSd,0,0,0,PConc,1,0,384.0,1,3,Detchd,990,0,GasA,4,1Story,2125,1,2,Lvl,flat,8428,Inside,60.0,IR2,0.0,None,20,RL,CollgCr,0,7,5,2,0,Gable,WD ,146000,0,990.0,256
0,43.0,0,3,0.0,1Fam,3,0,1.0,3,136.0,4,Y,Norm,0.0,0,3,HdBoard,HdBoard,0,0,0,CBlock,1,0,276.0,3,3,Attchd,1256,1,GasA,3,1Story,1489,1,2,Lvl,flat,9937,Inside,75.0,Reg,0.0,None,20,RL,Edwards,68,6,5,2,0,Gable,WD ,147500,0,1256.0,736
0,0.0,0,2,0.0,1Fam,4,3,1.0,5,690.0,6,Y,Norm,0.0,0,4,VinylSd,VinylSd,0,4,1,PConc,2,0,850.0,3,3,Attchd,2076,1,GasA,4,1Story,2383,1,4,Lvl,flat,13891,Inside,107.0,Reg,0.0,None,20,RL,NridgHt,229,5,10,2,0,Gable,New,465000,0,2076.0,216
0,31.0,0,1,0.0,1Fam,3,2,1.0,4,0.0,6,Y,Norm,0.0,0,2,Plywood,Plywood,0,3,1,PConc,1,0,602.0,3,3,Attchd,1110,0,GasA,4,SFoyer,983,1,3,Lvl,flat,9101,Corner,75.47692307692307,IR1,104.0,BrkFace,85,RL,Mitchel,30,6,5,2,0,Gable,WD ,165500,0,1097.0,303
1,54.0,1,4,0.0,1Fam,3,0,0.0,3,1050.0,1,N,Norm,2.0,0,2,MetalSd,MetalSd,0,0,0,BrkTil,2,0,352.0,1,2,Attchd,1795,0,GasA,4,1.5Fin,1325,1,2,Lvl,flat,12150,Inside,81.0,Reg,335.0,BrkFace,50,RM,OldTown,0,5,5,2,0,Gable,WD ,131500,0,1050.0,0
0,43.0,0,3,0.0,1Fam,3,0,1.0,3,134.0,3,Y,Norm,0.0,0,2,HdBoard,HdBoard,0,0,0,CBlock,1,0,384.0,1,3,Detchd,1040,0,GasA,4,1Story,1378,1,2,Lvl,flat,11200,Inside,70.0,Reg,0.0,None,20,RL,Sawyer,0,5,5,2,0,Hip,WD ,129500,0,1040.0,0
1,73.0,0,4,0.0,1Fam,2,0,0.0,3,398.0,2,Y,Norm,0.0,207,2,BrkFace,Stucco,0,4,2,PConc,1,0,786.0,3,2,Detchd,1873,1,GasA,2,2Story,1537,1,2,HLS,sloped,9670,Inside,100.0,IR1,40.0,Stone,70,RL,Crawfor,0,6,8,2,0,Gable,WD ,257076,0,608.0,0
1,68.0,1,3,0.0,1Fam,3,0,0.0,3,156.0,2,Y,Norm,0.0,0,2,Wd Sdng,Wd Sdng,0,0,0,CBlock,2,2,660.0,1,3,Detchd,1604,0,GasA,4,1.5Fin,905,1,2,Lvl,flat,10998,Inside,60.0,Reg,0.0,None,50,RL,Edwards,68,5,5,2,0,Gable,WD ,117000,0,984.0,0
1,77.0,0,3,0.0,1Fam,3,0,0.0,4,776.0,1,Y,Norm,0.0,112,2,Stucco,Wd Shng,1,4,1,BrkTil,1,0,270.0,2,3,Attchd,1502,1,GasA,2,2Story,1532,1,2,HLS,sloped,7200,Inside,60.0,Reg,0.0,None,70,RL,Crawfor,0,6,7,1,0,Gable,WD ,149000,0,776.0,0
0,56.0,0,3,0.0,1Fam,3,0,1.0,3,412.0,3,Y,Norm,0.0,164,2,HdBoard,HdBoard,1,0,0,CBlock,1,0,280.0,2,3,Attchd,1063,0,GasA,2,1Story,132,1,2,Lvl,flat,9920,Inside,80.0,Reg,110.0,Stone,20,RL,NAmes,0,5,5,2,0,Gable,WD ,128000,0,1056.0,0
1,5.0,0,2,0.0,Twnhs,3,0,0.0,4,764.0,1,Y,Norm,0.0,0,3,VinylSd,Wd Shng,0,0,0,PConc,2,0,474.0,2,3,BuiltIn,1626,1,GasA,4,2Story,1078,1,3,Lvl,flat,2448,Inside,36.0,Reg,106.0,Stone,160,RL,NridgHt,27,5,7,2,0,Gable,WD ,155000,0,764.0,0
1,6.0,0,2,0.0,TwnhsE,3,0,0.0,4,403.0,6,Y,Norm,0.0,0,3,MetalSd,MetalSd,0,0,0,PConc,2,0,440.0,1,3,Detchd,1524,1,GasA,4,2Story,2511,1,3,Lvl,flat,2998,Inside,63.98290598290598,Reg,513.0,BrkFace,160,FV,Somerst,32,5,6,2,0,Gable,WD ,166000,0,756.0,0
1,81.0,0,4,0.0,1Fam,3,0,1.0,3,500.0,4,Y,Norm,0.0,0,2,WdShing,Plywood,1,3,2,BrkTil,2,2,576.0,1,3,Detchd,1981,0,GasA,2,1.5Fin,912,1,3,Lvl,flat,7804,Inside,65.0,Reg,0.0,None,50,RL,SWISU,44,3,4,2,0,Gable,WD ,135000,0,1122.0,431
1,28.0,0,5,0.0,1Fam,3,0,1.0,4,133.0,4,Y,RRn,0.0,0,2,Plywood,Plywood,1,3,2,CBlock,3,0,564.0,2,3,Attchd,2784,1,GasA,2,2Story,2351,1,3,Lvl,flat,16692,Inside,80.0,IR1,184.0,BrkFace,60,RL,NWAmes,112,5,7,2,1,Gable,WD ,250000,440,1392.0,0
1,40.0,0,3,0.0,Twnhs,3,0,0.0,3,370.0,6,Y,Norm,0.0,0,2,CemntBd,CmentBd,0,0,0,CBlock,1,0,0.0,0,0,None,1092,1,GasA,4,2Story,330,1,2,Lvl,flat,1476,Inside,21.0,Reg,0.0,None,160,RM,MeadowV,26,7,4,2,0,Gable,WD ,76000,0,546.0,200
0,55.0,0,2,0.0,1Fam,3,0,0.0,3,216.0,1,Y,Norm,0.0,0,2,Wd Sdng,Wd Sdng,0,4,1,CBlock,1,0,400.0,1,3,Attchd,1575,1,GasA,2,1Story,2586,1,3,Lvl,flat,10170,Corner,75.0,Reg,522.0,BrkFace,20,RL,NAmes,0,6,6,2,0,Hip,WD ,155000,0,216.0,0
1,41.0,0,4,0.0,1Fam,3,0,0.0,3,292.0,5,Y,Norm,0.0,0,2,HdBoard,HdBoard,1,0,0,CBlock,1,0,299.0,3,3,Attchd,1352,1,GasA,2,2Story,224,1,2,Lvl,flat,9364,Corner,80.0,Reg,143.0,Stone,60,RL,Sawyer,36,7,6,2,0,Gable,WD ,158000,0,663.0,379
1,6.0,0,2,0.0,Twnhs,3,0,1.0,4,190.0,6,Y,Norm,0.0,0,3,MetalSd,MetalSd,0,0,0,PConc,2,0,480.0,2,3,Detchd,1200,1,GasA,4,2Story,98,1,3,Lvl,flat,2544,Inside,24.0,Reg,0.0,None,160,FV,Somerst,172,5,7,2,0,Gable,WD ,149500,0,600.0,0
0,52.0,0,2,0.0,1Fam,3,0,0.0,3,450.0,4,Y,Norm,1.0,160,2,MetalSd,MetalSd,1,0,0,CBlock,1,0,240.0,1,3,Attchd,936,0,GasA,2,1Story,2565,1,2,Lvl,flat,9888,Inside,82.0,Reg,0.0,None,20,RL,NAmes,0,6,5,2,0,Gable,WD ,121000,0,936.0,0
0,54.0,0,3,0.0,1Fam,3,0,0.0,3,0.0,3,Y,Norm,2.0,0,2,Wd Sdng,Wd Sdng,1,0,0,CBlock,1,0,293.0,3,3,Attchd,1040,0,GasA,2,1Story,1934,1,2,Lvl,flat,7942,Inside,68.0,Reg,0.0,None,20,RL,NAmes,0,7,6,2,0,Hip,WD ,136000,0,1040.0,0
1,12.0,0,3,0.0,1Fam,3,0,0.0,4,778.0,3,Y,Norm,0.0,0,2,HdBoard,HdBoard,0,3,1,PConc,2,0,386.0,3,3,Attchd,1636,1,GasA,3,2Story,997,1,2,Lvl,flat,15038,Corner,72.02564102564102,IR2,0.0,None,60,RL,Gilbert,84,5,6,2,0,Gable,WD ,173000,0,916.0,168
1,11.0,0,4,0.0,1Fam,3,0,0.0,4,628.0,6,Y,Norm,0.0,0,3,VinylSd,VinylSd,0,4,1,PConc,2,0,671.0,3,3,Attchd,2270,1,GasA,4,2Story,64,1,3,Lvl,flat,11764,CulDSac,92.0,IR1,348.0,BrkFace,60,RL,NoRidge,57,7,8,2,0,Gable,WD ,290000,0,1152.0,132
1,0.0,0,4,0.0,1Fam,3,2,0.0,4,1120.0,6,Y,Norm,0.0,0,3,CemntBd,CmentBd,0,4,1,PConc,2,0,550.0,3,3,BuiltIn,2610,1,GasA,4,2Story,1799,1,4,Lvl,flat,9000,Inside,75.0,Reg,0.0,None,60,FV,Somerst,364,5,8,2,0,Gable,New,303477,0,1184.0,208
0,33.0,0,1,0.0,1Fam,3,3,1.0,4,328.0,5,Y,Norm,0.0,0,3,Wd Sdng,Wd Sdng,0,3,2,CBlock,1,0,690.0,2,3,Attchd,1483,1,GasA,3,1Story,230,1,2,Low,sloped,20062,Inside,92.5,IR1,0.0,None,20,RL,ClearCr,0,7,7,2,0,Hip,WD ,270000,0,1420.0,496
1,88.0,0,2,0.0,1Fam,3,0,0.0,3,576.0,3,N,Artery,1.0,236,1,WdShing,Wd Shng,0,4,1,BrkTil,1,0,225.0,1,2,Detchd,1740,0,GasA,3,1.5Fin,1295,1,4,Lvl,flat,7308,Corner,81.0,Reg,0.0,None,50,RM,OldTown,0,5,5,0,0,Gable,WD ,122250,0,936.0,0
0,54.0,0,3,0.0,1Fam,3,0,0.0,3,727.0,3,Y,Norm,1.0,0,2,AsbShng,AsbShng,2,0,0,CBlock,1,0,350.0,1,3,Attchd,1382,0,GasA,3,1Story,638,1,3,Lvl,flat,8750,Inside,70.0,Reg,0.0,None,20,RL,NAmes,0,5,5,2,0,Gable,WD ,153000,0,1382.0,280
0,0.0,0,3,0.0,1Fam,3,0,0.0,4,914.0,5,Y,Feedr,0.0,0,2,VinylSd,VinylSd,0,0,0,PConc,1,0,0.0,0,0,None,1120,0,GasA,4,1Story,2278,1,2,Lvl,flat,8402,Inside,70.0,Reg,0.0,None,20,RL,Mitchel,30,5,5,2,0,Gable,New,147000,0,1120.0,0
1,77.0,0,2,0.0,1Fam,3,0,1.0,4,285.0,6,Y,Norm,0.0,0,2,Wd Sdng,Wd Sdng,1,4,1,BrkTil,1,0,216.0,1,3,Detchd,1098,0,GasA,2,2Story,2202,1,2,Lvl,flat,4000,Inside,63.0,Reg,0.0,None,70,RL,Crawfor,0,8,7,2,0,Gable,WD ,148500,0,531.0,0
1,2.0,0,3,0.0,TwnhsE,3,0,0.0,4,976.0,1,Y,Norm,0.0,0,3,VinylSd,VinylSd,0,0,0,PConc,2,4,380.0,1,3,Detchd,1708,0,GasA,4,2Story,2833,1,3,Lvl,flat,3363,Inside,32.0,Reg,117.0,Stone,160,RM,Edwards,40,5,7,2,0,Gable,WD ,130000,0,976.0,0
0,1.0,0,3,0.0,1Fam,3,3,0.0,5,1802.0,1,Y,Norm,0.0,0,4,MetalSd,MetalSd,0,4,1,PConc,2,0,843.0,3,3,Attchd,1802,1,GasA,4,1Story,1707,1,4,HLS,sloped,13615,Corner,94.0,IR1,510.0,Stone,20,RL,NridgHt,105,5,9,2,0,Hip,WD ,372000,0,1802.0,158
0,1.0,0,2,0.0,TwnhsE,3,3,0.0,4,1346.0,6,Y,Norm,0.0,0,3,VinylSd,VinylSd,0,4,1,PConc,2,0,440.0,3,3,Attchd,1506,0,GasA,4,1Story,2428,1,3,Lvl,flat,3013,Inside,43.0,Reg,145.0,BrkFace,120,RL,Blmngtn,20,5,7,2,0,Gable,WD ,213490,0,1362.0,142
0,1.0,0,1,0.0,1Fam,3,3,1.0,4,162.0,6,Y,Norm,0.0,0,3,VinylSd,VinylSd,0,3,2,PConc,1,0,572.0,2,3,Attchd,1508,0,GasA,4,1Story,242,1,3,Lvl,flat,17485,Inside,44.0,IR2,96.0,Stone,20,RL,Edwards,0,5,7,2,0,Gable,Con,308030,0,1508.0,0
0,12.0,0,3,0.0,1Fam,3,1,1.0,5,1140.0,6,Y,Norm,0.0,192,3,MetalSd,MetalSd,0,0,0,PConc,3,0,786.0,3,3,Attchd,2032,0,GasA,4,1Story,1564,1,3,Lvl,flat,23730,Inside,75.47692307692307,IR2,668.0,BrkFace,20,RL,Mitchel,46,5,7,2,0,Gable,WD ,300000,0,1840.0,0
